title,price,image,link
갤럭시북3 360 NT750QFT-A51A 빅세일98만+SSD더블업/13세대i5/16G/256G 대학생 사무용 15인치 터치 노트북,"1,199,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2755354055
갤럭시북4 NT750XGR-A51A i5-1355U 16GB램 SSD 1TB 윈도우11 프로,"1,105,000",http://gdimg.gmarket.co.kr/3893208186/still/280?ver=1721719788,http://item.gmarket.co.kr/Item?goodscode=3893208186&buyboxtype=ad
갤럭시북4 NT750XGR-A58A 최종59만 인텔CPU 가성비노트북 대학생노트북 작업용 사무용 학생용노트북,"699,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3647879628
Legion 5i 15IRX9 i7 4060/ 게이머데이 특가:119만/ 특가 한정판매/ 인텔 i7/ RTX4060/ TGP 140W,"1,622,730",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=4027510528
Z북 파이어 플라이 16 G9  4C769AV 250 i7-1255U( 16G/ 512GB/ 쿼드로 T550) 포토후기 이벤트,"1,899,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2577332900&buyboxtype=ad
MSI Sword GF76 B13VFK (212) 13세대 i7-13620H/RTX4060/SSD512GB/DDR5-16GB/노트북 (인텔행사 총36% 할인),"1,473,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2793062230
갤럭시북4프로 NT960XGK-K71A 빅세일162만+한컴증정/울트라7/Win11/16인치/대학생/사무용/노트북,"1,939,840",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3401560016
250 G10 820W9PA i5-1335U (8GB/ 512G/ 윈도우11프로) (기본상품) (9F174PT),"959,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2896242569&buyboxtype=ad
255 G10-9F186PT노트북 라이젠5 7530U사무용PC 가정 인강용 가성비 컴퓨터 대학생 과제용 39만원대,"544,910",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3474680152
레노버 Slim3 15IAU 3D 인텔 i3 사무용 업무용 가성비 노트북 PD충전 IPS패널 예약판매,"473,910",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3742858521
250 G10 820X0PA i7-1355U (8GB/ 512G/ 프리도스) 64GB RAM 구성(32GB2),"1,232,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2939461760&buyboxtype=ad
LG그램16 프로 16ZD90SP-GX56K  /상품권 포함 혜택가137만/ 인텔 울트라5 16GB 256GB 노트북,"1,746,040",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3411838567
프레데터 헬리오스 네오 PHN16-72-9529 인텔 14세대 i9 14900HX 32GB RTX4060 WQXGA 165Hz,"1,719,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3543517046
250 G10 820X0PA i7-1355U (8GB/ 512G/ 프리도스) 8GB RAM 추가(16GB)+1TB (SSD)교체,"1,165,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2939468193&buyboxtype=ad
